Date,Net_Sales
2023-06-28,375613.85
2023-06-29,401028.85
2023-06-30,525302.24
2023-07-01,544473.12
2023-07-02,528419.71
2023-07-03,471077.83
2023-07-04,366628.13
2023-07-05,392750.94
2023-07-06,411780.2
2023-07-07,521224.63
2023-07-08,567361.55
2023-07-09,531378.62
2023-07-10,369239.04
2023-07-11,349492.27
2023-07-12,386630.33999999997
2023-07-13,418867.23
2023-07-14,549415.18
2023-07-15,572402.61
2023-07-16,526962.97
2023-07-17,372136.35
2023-07-18,359721.92
2023-07-19,366880.79
2023-07-20,388155.94
2023-07-21,515578.72000000003
2023-07-22,571446.47
2023-07-23,527629.84
2023-07-24,401261.65
2023-07-25,391273.04
2023-07-26,359114.96
2023-07-27,397425.47
2023-07-28,527785.38
2023-07-29,569175.9
2023-07-30,541439.71
2023-07-31,377505.95
2023-08-01,365947.17
2023-08-02,384348.48
2023-08-03,402334.1
2023-08-04,529380.28
2023-08-05,571662.76
2023-08-06,544727.84
2023-08-07,381529.72
2023-08-08,376261.62
2023-08-09,385988.5
2023-08-10,411213.22
2023-08-11,529127.92
2023-08-12,598413.1
2023-08-13,527944.26
2023-08-14,363047.03
2023-08-15,366935.22000000003
2023-08-16,373004.8
2023-08-17,384485.58
2023-08-18,544098.51
2023-08-19,608198.83
2023-08-20,570353.8
2023-08-21,369222.64
2023-08-22,349784.56
2023-08-23,358640.89
2023-08-24,376343.6
2023-08-25,523493.37
2023-08-26,574361.51
2023-08-27,514515.31
2023-08-28,349061.93
2023-08-29,336165.2
2023-08-30,350581.86
2023-08-31,369483.07
2023-09-01,527096.57
2023-09-02,594830.49
2023-09-03,583343.11
2023-09-04,556329.11
2023-09-05,315034.01
2023-09-06,313322.44
2023-09-07,337550.25
2023-09-08,494271.01
2023-09-09,580272.6
2023-09-10,517350.0
2023-09-11,328956.76
2023-09-12,317056.01
2023-09-13,351776.1
2023-09-14,379170.75
2023-09-15,566433.87
2023-09-16,638701.63
2023-09-17,574720.37
2023-09-18,341120.15
2023-09-19,338170.42
2023-09-20,370340.61
2023-09-21,385082.45
